date,event_time,year,month,equipment_category,equipment_id,fuel_liter,status_text,source_sheet,source_file,source_row,source_event_key,data_status,issue_code
2026-08-24,08:54:25,2026,8,HEAD_TRUCK,95,63.12,online,N/A,ujb_dashboard_scrape,36,34d41cc20a66246f0e800732c51250b25bebb2d2,VALID,
2026-08-24,08:53:28,2026,8,HEAD_TRUCK,178,86.46,online,N/A,ujb_dashboard_scrape,37,217ce27e7e0711c0858603b2b130372bb82c0484,VALID,
2026-08-24,08:51:21,2026,8,HEAD_TRUCK,152,90.61,online,N/A,ujb_dashboard_scrape,38,0806b555aee8e9aa009a4118222440b371db06b6,VALID,
2026-08-24,08:49:56,2026,8,HEAD_TRUCK,183,77.35,online,N/A,ujb_dashboard_scrape,39,7b5b9442c73dd2dbb0a49bbbd7d9b5bb2e4da045,VALID,
2026-08-24,08:49:03,2026,8,BUS,01,58.12,online,N/A,ujb_dashboard_scrape,40,b0ff60c246e7ee656a0096aacf0d37ca59200417,VALID,
2026-08-24,08:47:03,2026,8,HEAD_TRUCK,186,64.28,online,N/A,ujb_dashboard_scrape,41,30aa76d8bf77359b4cfd35690c9150a31283aafa,VALID,
2026-08-24,08:43:39,2026,8,HEAD_TRUCK,141,66.11,online,N/A,ujb_dashboard_scrape,42,d46d24aada9336a61ab2436152078f509728fd50,VALID,
2026-08-24,08:42:25,2026,8,HEAD_TRUCK,210,63.56,online,N/A,ujb_dashboard_scrape,43,57d7b3798183be9bd6e7d4bc780f3929bc6dc42e,VALID,
2026-08-24,08:40:25,2026,8,HEAD_TRUCK,163,65.28,online,N/A,ujb_dashboard_scrape,44,c8635c110be372974bc4ee8e054b449e78489ec8,VALID,
2026-08-24,08:39:26,2026,8,HEAD_TRUCK,182,73.75,online,N/A,ujb_dashboard_scrape,45,24700510f5d9d61133095206f77db99523a60961,VALID,
2026-08-24,08:38:25,2026,8,HEAD_TRUCK,212,87.84,online,N/A,ujb_dashboard_scrape,46,1fcf930f8f6d5a4edd134d0d15e8bf2b43732321,VALID,
2026-08-24,08:36:18,2026,8,HEAD_TRUCK,194,144.82,online,N/A,ujb_dashboard_scrape,47,ce4ff0306d5bd93df374ad925e99fe33ca0030a6,VALID,
2026-08-24,08:34:38,2026,8,HEAD_TRUCK,170,86.62,online,N/A,ujb_dashboard_scrape,48,14424dd48924898650e98f2be5ac99ee828afab8,VALID,
2026-08-24,08:32:35,2026,8,HEAD_TRUCK,173,150.76,online,N/A,ujb_dashboard_scrape,49,c4e0794fa36138d7b05709018b547ae778b96137,VALID,
2026-08-24,08:31:58,2026,8,HEAD_TRUCK,139,57.36,online,N/A,ujb_dashboard_scrape,50,33c3e774faf3748253ea85d9e9ec8b2cd8c12016,VALID,
2026-08-24,08:29:06,2026,8,HEAD_TRUCK,144,66.48,online,N/A,ujb_dashboard_scrape,51,9ae4006096a694136d48440a4e870f0414a44fc4,VALID,
2026-08-24,08:26:42,2026,8,HEAD_TRUCK,204,72.21,online,N/A,ujb_dashboard_scrape,52,243fb81baeddda599e6c7ca00ffb6f7d373a8175,VALID,
