date,year,month,equipment_category,equipment_id,fuel_liter,status_text,source_sheet,source_file,source_row,data_status,issue_code
2026-08-24,2026,8,HEAD_TRUCK,168,65.46,online,N/A,ujb_dashboard_scrape,59,VALID,
2026-08-24,2026,8,HEAD_TRUCK,184,50.02,online,N/A,ujb_dashboard_scrape,60,VALID,
2026-08-24,2026,8,HEAD_TRUCK,165,70.25,online,N/A,ujb_dashboard_scrape,61,VALID,
2026-08-23,2026,8,HEAD_TRUCK,208,90.6,online,N/A,ujb_dashboard_scrape,62,VALID,
2026-08-23,2026,8,HEAD_TRUCK,159,85.53,online,N/A,ujb_dashboard_scrape,63,VALID,
2026-08-23,2026,8,HEAD_TRUCK,195,72.49,online,N/A,ujb_dashboard_scrape,64,VALID,
2026-08-23,2026,8,FORKLIFT,26,18.58,online,N/A,ujb_dashboard_scrape,65,VALID,
2026-08-23,2026,8,HEAD_TRUCK,179,99.65,online,N/A,ujb_dashboard_scrape,66,VALID,
2026-08-23,2026,8,KEND_OPS,RANGGA 04,39.85,online,N/A,ujb_dashboard_scrape,67,VALID,
2026-08-23,2026,8,HEAD_TRUCK,153,102.73,online,N/A,ujb_dashboard_scrape,68,VALID,
2026-08-23,2026,8,HEAD_TRUCK,149,92.9,online,N/A,ujb_dashboard_scrape,69,VALID,
2026-08-23,2026,8,HEAD_TRUCK,166,37.37,online,N/A,ujb_dashboard_scrape,70,VALID,
2026-08-23,2026,8,HEAD_TRUCK,142,66.93,online,N/A,ujb_dashboard_scrape,71,VALID,
2026-08-23,2026,8,HEAD_TRUCK,188,64.04,online,N/A,ujb_dashboard_scrape,72,VALID,
2026-08-23,2026,8,HEAD_TRUCK,189,85.14,online,N/A,ujb_dashboard_scrape,73,VALID,
2026-08-23,2026,8,ELF,03,30.0,online,N/A,ujb_dashboard_scrape,74,VALID,
2026-08-23,2026,8,HEAD_TRUCK,95,60.92,online,N/A,ujb_dashboard_scrape,75,VALID,
2026-08-23,2026,8,KEND_OPS,RANGGA 02,36.31,online,N/A,ujb_dashboard_scrape,76,VALID,
2026-08-23,2026,8,HEAD_TRUCK,185,79.46,online,N/A,ujb_dashboard_scrape,77,VALID,
2026-08-23,2026,8,HEAD_TRUCK,206,94.6,online,N/A,ujb_dashboard_scrape,78,VALID,
