equipment_id,equipment_category,change_date,before_mean,after_mean,absolute_change,percentage_change,change_direction,confidence,review_status
192,HEAD_TRUCK,2025-12-15,76.1,64.4,-11.7,15.4,DECREASE,MEDIUM,PENDING_REVIEW
192,HEAD_TRUCK,2026-04-22,64.4,77.7,13.3,20.6,INCREASE,MEDIUM,PENDING_REVIEW
193,HEAD_TRUCK,2025-12-15,67.5,81.6,14.1,20.9,INCREASE,MEDIUM,PENDING_REVIEW
194,HEAD_TRUCK,2025-12-03,67.5,76.9,9.5,14.0,MINOR_SHIFT,MEDIUM,PENDING_REVIEW
195,HEAD_TRUCK,2025-05-08,68.2,77.2,9.0,13.1,MINOR_SHIFT,LOW,PENDING_REVIEW
195,HEAD_TRUCK,2025-08-26,77.2,89.1,11.9,15.4,INCREASE,MEDIUM,PENDING_REVIEW
195,HEAD_TRUCK,2026-02-14,89.1,81.5,-7.6,8.5,MINOR_SHIFT,LOW,PENDING_REVIEW
197,HEAD_TRUCK,2025-06-06,67.3,70.8,3.5,5.2,MINOR_SHIFT,LOW,PENDING_REVIEW
200,HEAD_TRUCK,2025-03-29,74.7,82.5,7.8,10.4,VOLATILITY_INCREASE,LOW,PENDING_REVIEW
201,HEAD_TRUCK,2025-10-19,68.3,75.6,7.4,10.8,MINOR_SHIFT,MEDIUM,PENDING_REVIEW
203,HEAD_TRUCK,2026-03-11,83.1,73.2,-9.9,12.0,MINOR_SHIFT,LOW,PENDING_REVIEW
204,HEAD_TRUCK,2025-10-31,73.5,73.3,-0.2,0.3,VOLATILITY_DECREASE,LOW,PENDING_REVIEW
206,HEAD_TRUCK,2025-10-07,72.5,80.1,7.7,10.6,MINOR_SHIFT,LOW,PENDING_REVIEW
207,HEAD_TRUCK,2025-09-15,77.0,78.5,1.5,1.9,VOLATILITY_DECREASE,LOW,PENDING_REVIEW
208,HEAD_TRUCK,2025-10-20,67.5,71.0,3.5,5.2,MINOR_SHIFT,LOW,PENDING_REVIEW
209,HEAD_TRUCK,2025-10-25,82.2,91.0,8.8,10.7,MINOR_SHIFT,LOW,PENDING_REVIEW
212,HEAD_TRUCK,2025-08-20,76.6,83.7,7.1,9.2,MINOR_SHIFT,LOW,PENDING_REVIEW
83,HEAD_TRUCK,2025-06-27,81.4,101.6,20.1,24.7,INCREASE,MEDIUM,PENDING_REVIEW
99,HEAD_TRUCK,2025-02-16,88.2,71.8,-16.4,18.6,DECREASE,MEDIUM,PENDING_REVIEW
B 1975 HKN,KEND_OPS,2025-08-04,25.7,3.0,-22.6,88.2,DECREASE,MEDIUM,PENDING_REVIEW
B 9015 UBE,KEND_OPS,2025-05-18,27.9,31.8,3.9,13.9,MINOR_SHIFT,LOW,PENDING_REVIEW
B 9015 UBE,KEND_OPS,2026-03-11,31.8,39.3,7.6,23.8,INCREASE,MEDIUM,PENDING_REVIEW
B 9428 UAT,KEND_OPS,2025-06-03,22.0,23.6,1.7,7.6,MINOR_SHIFT,LOW,PENDING_REVIEW
B 9428 UAT,KEND_OPS,2026-04-09,23.6,29.4,5.8,24.4,INCREASE,MEDIUM,PENDING_REVIEW
B 9586 BAY,KEND_OPS,2025-09-01,24.4,38.5,14.0,57.4,INCREASE,HIGH,PENDING_REVIEW
B 9594 BAY,KEND_OPS,2025-09-01,27.1,35.4,8.3,30.4,INCREASE,MEDIUM,PENDING_REVIEW
B 9621 TVC,KEND_OPS,2026-02-24,6.7,28.5,21.8,324.1,INCREASE,HIGH,PENDING_REVIEW
B 9621 TVC,KEND_OPS,2026-06-19,28.5,6.7,-21.8,76.4,DECREASE,MEDIUM,PENDING_REVIEW
B 9656 UAU,KEND_OPS,2026-04-07,27.0,32.9,5.9,21.8,INCREASE,MEDIUM,PENDING_REVIEW
B 9786 BAZ,KEND_OPS,2025-08-08,31.3,26.6,-4.7,15.0,MINOR_SHIFT,MEDIUM,PENDING_REVIEW
B 9801 BAZ,KEND_OPS,2025-08-11,24.1,33.9,9.8,40.6,INCREASE,HIGH,PENDING_REVIEW
10,RTGC,2026-03-22,383.5,415.6,32.0,8.3,VOLATILITY_INCREASE,MEDIUM,PENDING_REVIEW
11,RTGC,2026-04-01,384.6,510.7,126.1,32.8,INCREASE,MEDIUM,PENDING_REVIEW
11,RTGC,2026-04-21,510.7,482.3,-28.4,5.6,VOLATILITY_DECREASE,LOW,PENDING_REVIEW
13,RTGC,2026-03-22,380.9,431.9,51.0,13.4,VOLATILITY_INCREASE,MEDIUM,PENDING_REVIEW
14,RTGC,2026-03-30,375.5,428.6,53.1,14.1,VOLATILITY_INCREASE,LOW,PENDING_REVIEW
15,RTGC,2026-03-20,385.8,347.5,-38.2,9.9,VOLATILITY_INCREASE,MEDIUM,PENDING_REVIEW
17,RTGC,2026-04-01,382.0,389.2,7.2,1.9,VOLATILITY_INCREASE,LOW,PENDING_REVIEW
2,RTGC,2026-01-17,342.0,328.5,-13.5,3.9,MINOR_SHIFT,LOW,PENDING_REVIEW
2,RTGC,2026-03-31,328.5,364.7,36.1,11.0,VOLATILITY_INCREASE,LOW,PENDING_REVIEW
20,RTGC,2026-03-28,354.5,405.1,50.6,14.3,VOLATILITY_INCREASE,LOW,PENDING_REVIEW
27,RTGC,2025-03-15,261.2,301.0,39.8,15.2,INCREASE,MEDIUM,PENDING_REVIEW
27,RTGC,2026-01-22,301.0,328.3,27.3,9.1,VOLATILITY_DECREASE,MEDIUM,PENDING_REVIEW
27,RTGC,2026-03-24,328.3,266.1,-62.2,19.0,DECREASE,MEDIUM,PENDING_REVIEW
28,RTGC,2026-01-25,286.1,335.9,49.9,17.4,INCREASE,MEDIUM,PENDING_REVIEW
28,RTGC,2026-03-23,335.9,276.5,-59.4,17.7,DECREASE,MEDIUM,PENDING_REVIEW
3,RTGC,2025-01-11,306.4,380.0,73.7,24.0,INCREASE,MEDIUM,PENDING_REVIEW
3,RTGC,2026-01-18,380.0,340.0,-40.1,10.5,VOLATILITY_INCREASE,LOW,PENDING_REVIEW
30,RTGC,2025-06-23,315.3,313.4,-1.9,0.6,VOLATILITY_INCREASE,LOW,PENDING_REVIEW
30,RTGC,2026-01-23,313.4,329.8,16.4,5.2,VOLATILITY_DECREASE,MEDIUM,PENDING_REVIEW
30,RTGC,2026-03-25,329.8,285.5,-44.2,13.4,VOLATILITY_INCREASE,LOW,PENDING_REVIEW
31,RTGC,2025-04-17,303.1,347.9,44.8,14.8,MINOR_SHIFT,LOW,PENDING_REVIEW
31,RTGC,2026-01-04,347.9,290.1,-57.7,16.6,DECREASE,MEDIUM,PENDING_REVIEW
31,RTGC,2026-01-24,290.1,339.7,49.5,17.1,INCREASE,MEDIUM,PENDING_REVIEW
31,RTGC,2026-03-20,339.7,293.0,-46.7,13.7,VOLATILITY_INCREASE,MEDIUM,PENDING_REVIEW
32,RTGC,2026-02-04,324.8,344.2,19.4,6.0,MINOR_SHIFT,MEDIUM,PENDING_REVIEW
32,RTGC,2026-04-22,344.2,297.8,-46.4,13.5,MINOR_SHIFT,LOW,PENDING_REVIEW
33,RTGC,2025-05-24,303.8,329.9,26.1,8.6,MINOR_SHIFT,LOW,PENDING_REVIEW
33,RTGC,2026-01-24,329.9,344.8,14.9,4.5,VOLATILITY_DECREASE,LOW,PENDING_REVIEW
33,RTGC,2026-03-23,344.8,298.7,-46.1,13.4,VOLATILITY_INCREASE,MEDIUM,PENDING_REVIEW
34,RTGC,2026-02-04,293.1,334.0,40.8,13.9,VOLATILITY_DECREASE,LOW,PENDING_REVIEW
34,RTGC,2026-03-23,334.0,244.1,-89.9,26.9,DECREASE,MEDIUM,PENDING_REVIEW
37,RTGC,2026-01-21,316.8,336.2,19.4,6.1,VOLATILITY_DECREASE,MEDIUM,PENDING_REVIEW
37,RTGC,2026-03-19,336.2,243.7,-92.5,27.5,DECREASE,MEDIUM,PENDING_REVIEW
39,RTGC,2025-03-29,362.1,307.8,-54.3,15.0,VOLATILITY_INCREASE,LOW,PENDING_REVIEW
39,RTGC,2026-02-06,307.8,336.4,28.6,9.3,VOLATILITY_DECREASE,LOW,PENDING_REVIEW
39,RTGC,2026-03-20,336.4,264.9,-71.5,21.3,DECREASE,MEDIUM,PENDING_REVIEW
4,RTGC,2026-01-09,381.6,295.0,-86.6,22.7,DECREASE,MEDIUM,PENDING_REVIEW
4,RTGC,2026-01-19,295.0,346.4,51.4,17.4,INCREASE,MEDIUM,PENDING_REVIEW
4,RTGC,2026-04-01,346.4,441.9,95.5,27.6,INCREASE,MEDIUM,PENDING_REVIEW
41,RTGC,2026-01-17,348.5,340.9,-7.6,2.2,VOLATILITY_DECREASE,MEDIUM,PENDING_REVIEW
41,RTGC,2026-03-30,340.9,338.5,-2.3,0.7,VOLATILITY_INCREASE,LOW,PENDING_REVIEW
43,RTGC,2025-02-01,219.5,343.9,124.3,56.6,INCREASE,MEDIUM,PENDING_REVIEW
43,RTGC,2026-06-10,343.9,351.1,7.3,2.1,VOLATILITY_INCREASE,LOW,PENDING_REVIEW
45,RTGC,2025-11-10,298.2,365.3,67.1,22.5,INCREASE,MEDIUM,PENDING_REVIEW
45,RTGC,2025-12-15,365.3,303.5,-61.8,16.9,DECREASE,MEDIUM,PENDING_REVIEW
46,RTGC,2025-10-27,287.4,321.7,34.3,11.9,MINOR_SHIFT,MEDIUM,PENDING_REVIEW
46,RTGC,2026-01-20,321.7,346.1,24.3,7.6,MINOR_SHIFT,MEDIUM,PENDING_REVIEW
46,RTGC,2026-04-16,346.1,280.5,-65.5,18.9,DECREASE,MEDIUM,PENDING_REVIEW
47,RTGC,2025-02-11,281.6,353.0,71.4,25.3,INCREASE,MEDIUM,PENDING_REVIEW
47,RTGC,2025-08-17,353.0,304.3,-48.7,13.8,VOLATILITY_INCREASE,LOW,PENDING_REVIEW
47,RTGC,2026-01-27,304.3,337.4,33.2,10.9,VOLATILITY_DECREASE,LOW,PENDING_REVIEW
47,RTGC,2026-03-24,337.4,275.3,-62.1,18.4,DECREASE,MEDIUM,PENDING_REVIEW
48,RTGC,2025-10-06,269.3,307.9,38.7,14.4,MINOR_SHIFT,LOW,PENDING_REVIEW
48,RTGC,2026-01-19,307.9,321.2,13.3,4.3,MINOR_SHIFT,LOW,PENDING_REVIEW
48,RTGC,2026-03-26,321.2,285.7,-35.6,11.1,VOLATILITY_INCREASE,MEDIUM,PENDING_REVIEW
49,RTGC,2025-07-05,249.9,276.3,26.4,10.5,MINOR_SHIFT,LOW,PENDING_REVIEW
49,RTGC,2026-01-30,276.3,322.0,45.7,16.5,INCREASE,MEDIUM,PENDING_REVIEW
49,RTGC,2026-03-22,322.0,265.1,-56.8,17.6,DECREASE,MEDIUM,PENDING_REVIEW
50,RTGC,2025-07-18,241.5,275.7,34.2,14.1,VOLATILITY_INCREASE,MEDIUM,PENDING_REVIEW
52,RTGC,2026-01-24,227.0,282.8,55.8,24.6,INCREASE,MEDIUM,PENDING_REVIEW
52,RTGC,2026-03-17,282.8,213.4,-69.4,24.5,DECREASE,MEDIUM,PENDING_REVIEW
53,RTGC,2026-03-28,260.7,228.2,-32.5,12.5,MINOR_SHIFT,LOW,PENDING_REVIEW
6,RTGC,2026-01-21,338.7,342.9,4.2,1.2,VOLATILITY_DECREASE,MEDIUM,PENDING_REVIEW
6,RTGC,2026-03-23,342.9,311.1,-31.9,9.3,VOLATILITY_INCREASE,MEDIUM,PENDING_REVIEW
62,RTGC,2026-02-03,236.3,290.2,53.9,22.8,INCREASE,MEDIUM,PENDING_REVIEW
62,RTGC,2026-03-20,290.2,232.8,-57.3,19.8,DECREASE,MEDIUM,PENDING_REVIEW
8,RTGC,2026-02-08,376.5,367.7,-8.7,2.3,VOLATILITY_INCREASE,LOW,PENDING_REVIEW
SL 03,SUPPORT,2025-03-30,13.9,47.8,33.9,244.4,INCREASE,HIGH,PENDING_REVIEW
SL 03,SUPPORT,2025-10-02,47.8,29.8,-18.0,37.7,DECREASE,MEDIUM,PENDING_REVIEW
