date,equipment_id,equipment_category,fuel_liter,expected_fuel,deviation_liter,deviation_percentage,robust_z_score,isolation_score,anomaly_type,severity,anomaly_reason
2025-01-30,B 7697 TK,BUS,49.36,50.12,-0.759999999999998,-1.5163607342378254,-0.10210526907330465,0.14006497416114133,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-01-31,B 7697 TK,BUS,50.06,50.12,-0.05999999999999517,-0.11971268954508216,-0.008078412612494125,0.18007899609112188,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-02-01,B 7697 TK,BUS,47.31,50.08,-2.769999999999996,-5.531150159744401,-0.37363529572613785,0.12820871798952616,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-02-02,B 7697 TK,BUS,49.89,50.06,-0.1700000000000017,-0.33959248901318756,-0.023121587910737602,0.1420733268766649,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-02-03,B 7697 TK,BUS,50.25,50.06,0.18999999999999773,0.3795445465441425,0.025851455801296157,0.16069420014140406,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-02-04,B 7697 TK,BUS,49.8,50.06,-0.2600000000000051,-0.5193767479025272,-0.03535835432216409,0.1669421642946426,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-02-05,B 7697 TK,BUS,41.63,49.89,-8.259999999999998,-16.5564241330928,-1.1243440395645918,0.03961602898708094,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-02-06,B 7697 TK,BUS,47.48,49.8,-2.3200000000000003,-4.658634538152611,-0.3237869802892216,0.13583040087936832,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-02-07,B 7697 TK,BUS,49.96,49.8,0.1600000000000037,0.32128514056225643,0.02245492301942895,0.18453892875525224,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-02-08,B 7697 TK,BUS,49.68,49.8,-0.11999999999999744,-0.2409638554216816,-0.016846199755134888,0.1614353884677152,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-02-09,B 7697 TK,BUS,50.15,49.8,0.3500000000000014,0.7028112449799226,0.04879092645133918,0.15771017607430776,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-02-10,B 7697 TK,BUS,50.11,49.8,0.3100000000000023,0.6224899598393621,0.04318167157178074,0.163175228804813,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-02-11,B 7697 TK,BUS,44.07,49.8,-5.729999999999997,-11.506024096385536,-0.798494255788342,0.06626815411908582,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-02-12,B 7697 TK,BUS,50.68,49.68,1.0,2.0128824476650564,0.14175057798044227,0.15829692937192008,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-02-13,B 7697 TK,BUS,46.07,49.96,-3.8900000000000006,-7.786228983186551,-0.5368238943629411,0.12343762206460851,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-02-14,B 7697 TK,BUS,50.1,49.96,0.14000000000000057,0.28022417934347593,0.01940009260366761,0.1922571114214734,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-02-15,B 7697 TK,BUS,50.07,50.1,-0.030000000000001137,-0.059880239520960346,-0.004155455246763555,0.18135945220513494,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-02-16,B 7697 TK,BUS,50.23,50.1,0.12999999999999545,0.25948103792414257,0.01798639333856155,0.14829300414458962,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-02-17,B 7697 TK,BUS,53.68,50.1,3.5799999999999983,7.145708582834327,0.49520150997315787,0.0008924395728172607,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-02-18,B 7697 TK,BUS,42.16,50.1,-7.940000000000005,-15.84830339321358,-1.0869278143200418,0.03020074779686366,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-02-19,B 7697 TK,BUS,43.63,50.1,-6.469999999999999,-12.914171656686623,-0.890627738020949,0.07106860833990425,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-02-20,B 7697 TK,BUS,45.87,50.07,-4.200000000000003,-8.38825644098263,-0.5902839392678698,0.1233179983637801,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-02-21,B 7697 TK,BUS,47.12,50.07,-2.950000000000003,-5.89175154783304,-0.41485117476467204,0.13136390790855246,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-02-22,B 7697 TK,BUS,49.89,47.12,2.770000000000003,5.878607809847206,0.3930266936020567,0.17074363203220816,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-02-23,B 7697 TK,BUS,47.64,47.12,0.5200000000000031,1.1035653650254738,0.07382111644457731,0.09020306427204494,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-02-24,B 7697 TK,BUS,50.05,47.12,2.9299999999999997,6.218166383701188,0.41921830287346995,0.16364158714479587,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-02-25,B 7697 TK,BUS,49.53,47.12,2.4100000000000037,5.11460101867573,0.3486530851148399,0.1538523310279744,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-02-26,B 7697 TK,BUS,50.22,47.64,2.5799999999999983,5.415617128463472,0.36500419166815173,0.1961316361781711,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-02-27,B 7697 TK,BUS,49.25,49.53,-0.28000000000000114,-0.565313951140725,-0.03884578956230387,0.1616445896621263,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-02-28,B 7697 TK,BUS,47.16,49.53,-2.3700000000000045,-4.784978800726841,-0.3255683722942396,0.13203686854798335,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-03-01,B 7697 TK,BUS,45.78,49.53,-3.75,-7.571168988491824,-0.5150798842918235,0.11660931887542336,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
