year,month,month_name,equipment_category,workbook_reported_total,recalculated_total,difference_liter,difference_percentage,validation_status
2025,9,September 2025,KEND_OPS,5801.33,5801.33,0.0,0.0,MATCH
2025,9,September 2025,MODUL,0.0,0.0,0.0,,NO_WORKBOOK_VALUE
2025,9,September 2025,RTGC,363695.0,363695.0,0.0,0.0,MATCH
2025,9,September 2025,SUPPORT,10071.12,10071.12,0.0,0.0,MATCH
2025,10,Oktober 2025,BUS,4573.66,4573.66,0.0,0.0,MATCH
2025,10,Oktober 2025,ELF,3532.91,3532.91,0.0,0.0,MATCH
2025,10,Oktober 2025,HEAD_TRUCK,181241.1,181241.1,0.0,0.0,MATCH
2025,10,Oktober 2025,KEND_OPS,5806.61,5806.61,0.0,0.0,MATCH
2025,10,Oktober 2025,MODUL,0.0,0.0,0.0,,NO_WORKBOOK_VALUE
2025,10,Oktober 2025,RTGC,391473.0,391473.0,0.0,0.0,MATCH
2025,10,Oktober 2025,SUPPORT,9176.93,9176.93,0.0,0.0,MATCH
2025,11,November 2025,BUS,4376.46,4376.46,0.0,0.0,MATCH
2025,11,November 2025,ELF,3216.28,3216.28,0.0,0.0,MATCH
2025,11,November 2025,HEAD_TRUCK,182305.99000000002,182305.99,-2.9103830456733704e-11,-0.0,MATCH
2025,11,November 2025,KEND_OPS,5347.23,5347.23,0.0,0.0,MATCH
2025,11,November 2025,MODUL,0.0,0.0,0.0,,NO_WORKBOOK_VALUE
2025,11,November 2025,RTGC,363087.0,363087.0,0.0,0.0,MATCH
2025,11,November 2025,SUPPORT,10742.62,10742.62,0.0,0.0,MATCH
2025,12,Desember 2025,BUS,4483.13,4483.13,0.0,0.0,MATCH
2025,12,Desember 2025,ELF,3151.32,3151.32,0.0,0.0,MATCH
2025,12,Desember 2025,HEAD_TRUCK,193026.13,193026.13,0.0,0.0,MATCH
2025,12,Desember 2025,KEND_OPS,5340.15,5340.15,0.0,0.0,MATCH
2025,12,Desember 2025,MODUL,5646.0,5646.0,0.0,0.0,MATCH
2025,12,Desember 2025,RTGC,408377.0,408377.0,0.0,0.0,MATCH
2025,12,Desember 2025,SUPPORT,10960.5,10960.5,0.0,0.0,MATCH
2026,1,Januari 2026,BUS,4338.98,4338.98,0.0,0.0,MATCH
2026,1,Januari 2026,COMPRESSOR,0.0,0.0,0.0,,NO_WORKBOOK_VALUE
2026,1,Januari 2026,HEAD_TRUCK,179753.2,179753.2,0.0,0.0,MATCH
2026,1,Januari 2026,KEND_OPS,4955.69,4955.69,0.0,0.0,MATCH
2026,1,Januari 2026,MODUL,1000.0,1000.0,0.0,0.0,MATCH
