equipment_category,change_direction,n_change_points
BUS,MINOR_SHIFT,1
BUS,VOLATILITY_DECREASE,1
BUS,VOLATILITY_INCREASE,1
ELF,MINOR_SHIFT,3
HEAD_TRUCK,MINOR_SHIFT,25
HEAD_TRUCK,INCREASE,20
HEAD_TRUCK,DECREASE,6
HEAD_TRUCK,VOLATILITY_INCREASE,4
HEAD_TRUCK,VOLATILITY_DECREASE,2
KEND_OPS,INCREASE,7
KEND_OPS,MINOR_SHIFT,3
KEND_OPS,DECREASE,2
RTGC,VOLATILITY_INCREASE,20
RTGC,DECREASE,13
RTGC,INCREASE,13
RTGC,MINOR_SHIFT,11
RTGC,VOLATILITY_DECREASE,10
SUPPORT,DECREASE,1
SUPPORT,INCREASE,1
